"","GN","UnterGN","Datum","Land","Wert","Verzeichnis","Signatur","Haupttyp","Untertyp","Zusatz","Herkunftsdatei"
"1065",11907,1,2012-02-06,"Deutschland",800,"5.1","5.1","1","","","Tracker"
"1066",11908,1,2012-02-06,"Saudi-Arabien",8000,"GKV","6A002a3f","6","A","002a3f","Tracker"
"1067",11909,1,2012-02-07,"Deutschland",3248,"5.1","5.1","1","","","Tracker"
"1068",11910,1,2012-02-07,"China",370688,"GKV","2B201a1|2B001b2","2","B","201a1","Tracker"
"1069",11911,1,2012-02-07,"China",217089,"GKV","2B201a1","2","B","201a1","Tracker"
"1070",11912,1,2012-02-07,"China",247227,"GKV","2B201a1","2","B","201a1","Tracker"
"1071",11913,1,2012-02-07,"China",161681,"GKV","2B201a1","2","B","201a1","Tracker"
"1072",11914,1,2012-02-08,"Südafrika",23200,"GKV","6A002c1","6","A","002c1","Tracker"
"1073",11915,1,2012-02-09,"Deutschland",10900,"GKV","0B002g","0","B","002g","Tracker"
"1074",11916,1,2012-02-10,"China",3858000,"GKV","2B201a1|2B001b2","2","B","201a1","Tracker"
"1075",11917,1,2012-02-08,"Oman",16811,"GKV","5D002c1","5","D","002c1","Tracker"
"1076",11918,1,2012-02-09,"Taiwan",204694,"GKV","2B201a1","2","B","201a1","Tracker"
"1077",11919,1,2012-02-09,"Elfenbeinküste",2725,"GKV","2B350g2","2","B","350g2","Tracker"
"1078",11920,1,2012-02-09,"Russland",587520,"GKV","6A005a6b2","6","A","005a6b2","Tracker"
"1079",11922,1,2012-02-16,"Kasachstan",2313,"5.1","5.1","1","","","Tracker"
"1080",11923,1,2012-02-09,"Vereinigte Arabische Emirate",3500,"GKV","5A001i","5","A","001i","Tracker"
"1081",11924,1,2012-02-10,"Südafrika",1179,"GKV","2B350g2","2","B","350g2","Tracker"
"1082",11925,1,2012-02-10,"Russland",6358,"GKV","2B350g2","2","B","350g2","Tracker"
"1083",11926,1,2012-02-10,"Deutschland",1755,"ML (GKV)","6","6","","","Tracker"
"1084",11926,2,2012-02-10,"Deutschland",1755,"ML (GKV)","6","6","","","Tracker"
"1085",11927,1,2012-02-13,"Taiwan",16000,"GKV","5A002a1a","5","A","002a1a","Tracker"
"1086",11928,1,2012-02-13,"Israel",740000,"GKV","2B201b1","2","B","201b1","Tracker"
"1087",11929,1,2012-02-13,"Slowenien",7244,"GKV","6A002a3f","6","A","002a3f","Tracker"
"1088",11930,1,2012-02-13,"Hong Kong",36500,"GKV","3A001a2c","3","A","001a2c","Tracker"
"1089",11931,1,2012-02-13,"Indien",155605,"GKV","2B001a","2","B","001a","Tracker"
"1090",11932,1,2012-02-13,"Taiwan",5256,"GKV","1C35009|3B14","1","C","35009","Tracker"
"1091",11933,1,2012-02-13,"Oman",69712,"GKV","5A002a1a","5","A","002a1a","Tracker"
"1092",11934,1,2012-02-13,"Hong Kong",89100,"GKV","3A001a2c","3","A","001a2c","Tracker"
"1093",11935,1,2012-02-13,"Israel",148750,"GKV","2B001a","2","B","001a","Tracker"
"1094",11936,1,2012-02-13,"Israel",304500,"GKV","2B001a","2","B","001a","Tracker"
"1095",11937,1,2012-02-14,"Singapur",4000,"GKV","1C231","1","C","231","Tracker"
"1096",11938,1,2012-03-12,"Kroatien",155800,"GKV","6A005a6b2","6","A","005a6b2","Tracker"
"1097",11939,1,2012-02-15,"Deutschland",10000,"GKV","0B001b14","0","B","001b14","Tracker"
"1098",11940,1,2012-02-15,"Serbien",4000,"GKV","2B201a1","2","B","201a1","Tracker"
"1099",11941,1,2012-03-05,"Taiwan",25000,"GKV","2B352d2","2","B","352d2","Tracker"
"1100",11942,1,2012-02-15,"Thailand",38819,"GKV","2B350g2","2","B","350g2","Tracker"
"1101",11943,1,2012-02-15,"Aserbaidschan",27305,"GKV","5A002a1a","5","A","002a1a","Tracker"
"1102",11944,1,2012-03-12,"China",24000,"GKV","6A005a6b2","6","A","005a6b2","Tracker"
"1103",11945,1,2012-02-16,"Ägypten",4006,"GKV","2B350g2","2","B","350g2","Tracker"
"1104",11946,1,2012-02-16,"Indien",6980,"5.1","5.1","1","","","Tracker"
"1105",11947,1,2012-02-16,"Brasilien",5030,"5.1","5.1","1","","","Tracker"
"1106",11948,1,2012-02-16,"Russland",483829,"GKV","2B201a1","2","B","201a1","Tracker"
"1107",11949,1,2012-02-16,"China",2682018,"GKV","2B001a","2","B","001a","Tracker"
"1108",11950,1,2012-02-23,"Israel",5,"5.1","5.1","1","","","Tracker"
"1109",11951,1,2012-02-17,"Frankreich",27000,"GKV","0B001b14","0","B","001b14","Tracker"
"1110",11952,1,2012-02-17,"China",940000,"GKV","2B001b3","2","B","001b3","Tracker"
"1111",11953,1,2012-02-22,"China",465000,"GKV","6A002a1d","6","A","002a1d","Tracker"
"1112",11954,1,2012-02-20,"China",332800,"GKV","2B201b1","2","B","201b1","Tracker"
"1113",11955,1,2012-02-20,"China",2174500,"GKV","2B005d1","2","B","005d1","Tracker"
"1114",11956,1,2012-02-20,"Frankreich",100000,"GKV","1A008c","1","A","008c","Tracker"
"1115",11957,1,2012-02-22,"China",210240,"GKV","2B201a1","2","B","201a1","Tracker"
"1116",11958,1,2012-02-22,"China",447994,"GKV","2B201a1","2","B","201a1","Tracker"
"1117",11959,1,2012-02-22,"China",1856270,"GKV","2B201a1","2","B","201a1","Tracker"
"1118",11960,1,2012-02-22,"China",219957,"GKV","2B201a1","2","B","201a1","Tracker"
"1119",11961,1,2012-02-22,"China",216696,"GKV","2B201a1","2","B","201a1","Tracker"
"1120",11962,1,2012-02-22,"China",223017,"GKV","2B201a1","2","B","201a1","Tracker"
"1121",11963,1,2012-02-22,"China",439914,"GKV","2B201a1","2","B","201a1","Tracker"
"1122",11964,1,2012-02-22,"China",221190,"GKV","2B201a1","2","B","201a1","Tracker"
"1123",11965,1,2012-02-22,"China",6592,"GKV","3A228c","3","A","228c","Tracker"
"1124",11966,1,2012-02-22,"Russland",351540,"GKV","2B201a|2B001b2","2","B","201a","Tracker"
"1125",11967,1,2012-02-22,"Russland",363171,"GKV","2B201a1|2B001b2","2","B","201a1","Tracker"
"1126",11968,1,2012-02-22,"China",225118,"GKV","2B201a1","2","B","201a1","Tracker"
"1127",11969,1,2012-02-22,"China",222652,"GKV","2B201a1","2","B","201a1","Tracker"
"1128",11970,1,2012-02-22,"China",151596,"GKV","7A103a","7","A","103a","Tracker"
"1129",11971,1,2012-02-22,"Ägypten",44400,"GKV","5A002a1a","5","A","002a1a","Tracker"
"1130",11971,2,2012-02-22,"Ägypten",122800,"GKV","5A002a1a","5","A","002a1a","Tracker"
"1131",11972,1,2012-02-22,"Brasilien",3337,"5.1","5.1","1","","","Tracker"
"1132",11973,1,2012-02-22,"Russland",109619,"GKV","2B001a","2","B","001a","Tracker"
"1133",11974,1,2012-02-22,"Russland",109619,"GKV","2B001a","2","B","001a","Tracker"
"1134",11975,1,2012-02-22,"Russland",109618,"GKV","2B001a","2","B","001a","Tracker"
"1135",11976,1,2012-02-22,"Thailand",15480,"5.1","5.1","1","","","Tracker"
"1136",11976,2,2012-02-22,"Thailand",2508,"5.1","5.1","1","","","Tracker"
"1137",11977,1,2012-02-22,"Russland",766132,"GKV","2B201a1|2B001b2","2","B","201a1","Tracker"
"1138",11978,1,2012-02-22,"China",155514,"GKV","6A005a6b2","6","A","005a6b2","Tracker"
"1139",11979,1,2012-02-23,"Serbien",191541,"GKV","5A001f","5","A","001f","Tracker"
"1140",11980,1,2012-02-23,"China",513000,"GKV","2B201b1","2","B","201b1","Tracker"
"1141",11981,1,2012-02-23,"China",497000,"GKV","2B201b1","2","B","201b1","Tracker"
"1142",11982,1,2012-02-23,"China",486000,"GKV","2B201b1","2","B","201b1","Tracker"
"1143",11983,1,2012-02-23,"China",885765,"GKV","2B201a1","2","B","201a1","Tracker"
"1144",11984,1,2012-02-23,"China",176533,"GKV","2B201a1","2","B","201a1","Tracker"
"1145",11985,1,2012-02-23,"Taiwan",260000,"GKV","2B201b1","2","B","201b1","Tracker"
"1146",11986,1,2012-02-23,"Slowenien",168310,"GKV","2B001a","2","B","001a","Tracker"
